File.Name	Sample.ID	Batch
VK_180503_001.mzXML	Qstd_1_1	2
VK_180503_003.mzXML	Qstd_1_3	2
VK_180503_005.mzXML	Qstd_1_5	2
VK_180503_007.mzXML	Qstd_2_1	2
VK_180503_009.mzXML	Qstd_2_3	2
VK_180503_011.mzXML	Qstd_2_5	2
VK_180503_013.mzXML	cat1_2_1	2
VK_180503_015.mzXML	cat1_2_3	2
VK_180503_017.mzXML	cat1_2_5	2
VK_180503_019.mzXML	N2_1_1	2
VK_180503_021.mzXML	N2_1_3	2
VK_180503_023.mzXML	N2_1_5	2
VK_180503_025.mzXML	cat1Bact_3_1	2
VK_180503_027.mzXML	cat1Bact_3_3	2
VK_180503_029.mzXML	cat1Bact_3_5	2
VK_180503_031.mzXML	N2Bact_4_1	2
VK_180503_033.mzXML	N2Bact_4_3	2
VK_180503_035.mzXML	N2Bact_4_5	2
VK_180503_037.mzXML	cat1M9_3_1	2
VK_180503_039.mzXML	cat1M9_3_3	2
VK_180503_041.mzXML	cat1M9_3_5	2
VK_180503_043.mzXML	N2M9_1_1	2
VK_180503_045.mzXML	N2M9_1_3	2
VK_180503_047.mzXML	N2M9_1_5	2
VK_180503_049.mzXML	cat1_5_1	2
VK_180503_051.mzXML	cat1_5_3	2
VK_180503_053.mzXML	cat1_5_5	2
VK_180503_055.mzXML	N2_3_1	2
VK_180503_057.mzXML	N2_3_3	2
VK_180503_059.mzXML	N2_3_5	2
VK_180503_061.mzXML	cat1Bact_2_1	2
VK_180503_063.mzXML	cat1Bact_2_3	2
VK_180503_065.mzXML	cat1Bact_2_5	2
VK_180503_067.mzXML	N2Bact_2_1	2
VK_180503_069.mzXML	N2Bact_2_3	2
VK_180503_071.mzXML	N2Bact_2_5	2
VK_180503_073.mzXML	cat1M9_1_1	2
VK_180503_075.mzXML	cat1M9_1_3	2
VK_180503_077.mzXML	cat1M9_1_5	2
VK_180503_079.mzXML	N2M9_5_1	2
VK_180503_081.mzXML	N2M9_5_3	2
VK_180503_083.mzXML	N2M9_5_5	2
VK_180503_085.mzXML	cat1_3_1	2
VK_180503_087.mzXML	cat1_3_3	2
VK_180503_089.mzXML	cat1_3_5	2
VK_180503_091.mzXML	N2_2_1	2
VK_180503_093.mzXML	N2_2_3	2
VK_180503_095.mzXML	N2_2_5	2
VK_180503_097.mzXML	cat1_6_1	2
VK_180503_099.mzXML	cat1_6_3	2
VK_180503_101.mzXML	cat1_6_5	2
VK_180503_103.mzXML	cat1Bact_5_1	2
VK_180503_105.mzXML	cat1Bact_5_3	2
VK_180503_107.mzXML	cat1Bact_5_5	2
VK_180503_109.mzXML	Qstd_3_1	2
VK_180503_111.mzXML	Qstd_3_3	2
VK_180503_113.mzXML	Qstd_3_5	2
VK_180503_115.mzXML	Qstd_4_1	2
VK_180503_117.mzXML	Qstd_4_3	2
VK_180503_119.mzXML	Qstd_4_5	2
VK_180503_121.mzXML	N2Bact_5_1	2
VK_180503_123.mzXML	N2Bact_5_3	2
VK_180503_125.mzXML	N2Bact_5_5	2
VK_180503_127.mzXML	cat1M9_5_1	2
VK_180503_129.mzXML	cat1M9_5_3	2
VK_180503_131.mzXML	cat1M9_5_5	2
VK_180503_133.mzXML	N2M9_2_1	2
VK_180503_135.mzXML	N2M9_2_3	2
VK_180503_137.mzXML	N2M9_2_5	2
VK_180503_139.mzXML	cat1_1_1	2
VK_180503_141.mzXML	cat1_1_3	2
VK_180503_143.mzXML	cat1_1_5	2
VK_180503_145.mzXML	N2_5_1	2
VK_180503_147.mzXML	N2_5_3	2
VK_180503_149.mzXML	N2_5_5	2
VK_180503_151.mzXML	cat1Bact_1_1	2
VK_180503_153.mzXML	cat1Bact_1_3	2
VK_180503_155.mzXML	cat1Bact_1_5	2
VK_180503_157.mzXML	N2Bact_3_1	2
VK_180503_159.mzXML	N2Bact_3_3	2
VK_180503_161.mzXML	N2Bact_3_5	2
VK_180503_163.mzXML	cat1M9_4_1	2
VK_180503_165.mzXML	cat1M9_4_3	2
VK_180503_167.mzXML	cat1M9_4_5	2
VK_180503_169.mzXML	N2M9_3_1	2
VK_180503_171.mzXML	N2M9_3_3	2
VK_180503_173.mzXML	N2M9_3_5	2
VK_180503_175.mzXML	N2_6_1	2
VK_180503_177.mzXML	N2_6_3	2
VK_180503_179.mzXML	N2_6_5	2
VK_180503_181.mzXML	cat1_4_1	2
VK_180503_183.mzXML	cat1_4_3	2
VK_180503_185.mzXML	cat1_4_5	2
VK_180503_187.mzXML	N2_4_1	2
VK_180503_189.mzXML	N2_4_3	2
VK_180503_191.mzXML	N2_4_5	2
VK_180503_193.mzXML	cat1Bact_4_1	2
VK_180503_195.mzXML	cat1Bact_4_3	2
VK_180503_197.mzXML	cat1Bact_4_5	2
VK_180503_199.mzXML	N2Bact_1_1	2
VK_180503_201.mzXML	N2Bact_1_3	2
VK_180503_203.mzXML	N2Bact_1_5	2
VK_180503_205.mzXML	cat1M9_2_1	2
VK_180503_207.mzXML	cat1M9_2_3	2
VK_180503_209.mzXML	cat1M9_2_5	2
