"Strain"	"Intensity"	"log.intensity"	"neuro"	"name"	"mz"	"adduct"
"cat1"	792346.872811193	19.5957726246019	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"N2"	759692.841010953	19.5350567004632	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"cat1"	304298.292709456	18.2151267139531	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"N2"	478552.232257483	18.8683168727245	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"cat1"	695305.211769096	19.4072868779539	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"N2"	1375093.50596541	20.3910982941476	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"cat1"	58787.457278531	15.8432207582113	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"cat1"	660551.232398617	19.3333109357742	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"N2"	501122.44408567	18.9348036285403	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"N2"	2047768.71053622	20.9656213456944	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"cat1"	117574.914557062	16.8432207582113	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"N2"	219793.931693788	17.7457920298043	"cat1"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"MPP"	1345640.16042098	20.3598612376812	"MPP"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"C"	13626.1328389098	13.7340885560914	"MPP"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"MPP"	1063965.20133304	20.0210195353087	"MPP"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"C"	1066463.00035007	20.0244024833032	"MPP"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"MPP"	1533776.14749879	20.5486565081889	"MPP"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"C"	178881.480645203	17.4486445093151	"MPP"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"MPP"	1486757.76774983	20.5037381825966	"MPP"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"C"	909180.019234672	19.7942064532826	"MPP"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"MPP"	977275.074215267	19.8984051700496	"MPP"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"C"	979832.510032923	19.9021756342809	"MPP"	"4-hydroxyphenylacetate"	88.0214838418398	"M+H+Na[2+]"
"cat1"	1153290.67957777	20.1373247502515	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"N2"	780014.564690143	19.5731415371426	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"cat1"	112450.229541648	16.7789270804904	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"N2"	228317.03557713	17.8006789828199	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"cat1"	1653382.18652631	20.6569888177744	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"N2"	34881.1393738415	15.0901595452992	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"cat1"	896734.921590782	19.7743220562097	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"cat1"	471301.481264123	18.8462906900762	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"N2"	69762.2787476831	16.0901595452992	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"N2"	34881.1393738415	15.0901595452992	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"cat1"	211053.21852793	17.6872473047695	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"N2"	298913.516620279	18.1893686103961	"cat1"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"MPP"	626457.837935908	19.256857890532	"MPP"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"C"	2949.9629217827	11.5264811059513	"MPP"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"MPP"	2949.9629217827	11.5264811059513	"MPP"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"C"	5899.92584356539	12.5264811059513	"MPP"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"MPP"	1010256.78639895	19.9462906121806	"MPP"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"C"	2949.9629217827	11.5264811059513	"MPP"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"MPP"	2949.9629217827	11.5264811059513	"MPP"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"C"	2949.9629217827	11.5264811059513	"MPP"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"MPP"	104021.18701973	16.6665178806417	"MPP"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"C"	2949.9629217827	11.5264811059513	"MPP"	"Malate"	137.024829858519	"M(Cl37)+H[1+]"
"cat1"	2942670.46664138	21.488694561225	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"N2"	879477.147090403	19.7462865646893	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"cat1"	897120.123334031	19.7749416476921	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"N2"	443942.925795303	18.7600146871275	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"cat1"	375587.688180902	18.5187902464501	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"N2"	997927.284008296	19.9285751689346	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"cat1"	1522886.02419453	20.5383765410362	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"cat1"	480783.82069745	18.875028821833	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"N2"	494651.951728128	18.9160542438139	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"N2"	513652.567789094	18.9704333315072	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"cat1"	705556.381361535	19.4284018483445	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"N2"	354643.065767898	18.4360082137113	"cat1"	"Choline"	143.07018517057	"M+K[1+]"
"MPP"	1505704.50011099	20.522007233056	"MPP"	"Choline"	143.07018517057	"M+K[1+]"
"C"	892707.177332365	19.7678274996279	"MPP"	"Choline"	143.07018517057	"M+K[1+]"
"MPP"	2166067.8180333	21.0466469827269	"MPP"	"Choline"	143.07018517057	"M+K[1+]"
"C"	649970.697661961	19.3100151536692	"MPP"	"Choline"	143.07018517057	"M+K[1+]"
"MPP"	1440091.69763644	20.4577292473205	"MPP"	"Choline"	143.07018517057	"M+K[1+]"
"C"	857105.650165305	19.7091135219195	"MPP"	"Choline"	143.07018517057	"M+K[1+]"
"MPP"	823493.475425886	19.6513976938991	"MPP"	"Choline"	143.07018517057	"M+K[1+]"
