"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number"
"Glycerophospholipid metabolism","24","10","2","1.115","0.075449","0.37416","0.076141","0","0","P0"
"Amino sugar and nucleotide sugar metabolism","27","20","2","1.2544","0.23857","0.61044","0.098356","0","0","P1"
"Citrate cycle (TCA cycle)","20","12","1","0.9292","0.43848","1","1","0","0","P2"
"Purine metabolism","54","37","1","2.5088","0.83561","1","1","0","0","P3"
"Glycine, serine and threonine metabolism","22","11","1","1.0221","0.41064","1","1","0","0","P4"
"Lysine degradation","16","7","1","0.74336","0.28515","1","1","0","0","P5"
"Tyrosine metabolism","25","13","1","1.1615","0.46504","1","1","0","0","P6"
"Pyruvate metabolism","18","10","1","0.83628","0.38145","1","1","0","0","P7"
"Glyoxylate and dicarboxylate metabolism","10","9","1","0.4646","0.35085","1","1","0","0","P8"
"Riboflavin metabolism","10","4","1","0.4646","0.17427","1","1","0","0","P9"
"Terpenoid backbone biosynthesis","10","10","1","0.4646","0.38145","1","1","0","0","P10"
