"Query.Mass"	"Matched.Compound"	"Matched.Form"	"Mass.Diff"	"Name"	"min.adduct"
88.0214838418398	"C00642"	"M+H+Na[2+]"	0.000442624930201418	"4-hydroxyphenylacetate"	0.000442624930201418
137.024829858519	"C00149"	"M(Cl37)+H[1+]"	0.00114660825099122	"Malate"	0.00114660825099122
143.07018517057	"C00114"	"M+K[1+]"	9.12961999972595e-05	"Choline"	9.12961999972595e-05
145.10832041194	"C00487"	"M-H2O+H[1+]"	0.00135605482998358	"Carnitine"	0.00135605482998358
152.038200981721	"C00357"	"M(C13)+2H[2+]"	0.00107451495097166	"N-Acetyl-D-glucosamine-6-phosphate"	0.00107451495097166
162.075957677514	"C00329"	"M-H2O+H[1+]"	0.000118789255992624	"D-glucosamine"	0.000118789255992624
213.112022741482	"C00670"	"M-HCOOH+H[1+]"	0.000453725287968609	"Glycero-3-phosphocholine"	0.000453725287968609
87.0440048852969	"C00670"	"M+3H[3+]"	0.000138248139748498	"Glycero-3-phosphocholine"	0.000138248139748498
91.0395172850052	"C00149"	"M-CO2+H[1+]"	0.000540818235208462	"Malate"	0.000540818235208462
93.0545717209327	"C00487"	"M+H+Na[2+]"	0.00020474583729424	"Carnitine"	0.00020474583729424
104.106882054253	"C00114"	"M[1+]"	0.000617945746995474	"Choline"	0.000617945746995474
107.049036726384	"C00642"	"M-HCOOH+H[1+]"	0.000139740385989739	"4-hydroxyphenylacetate"	0.000139740385989739
107.110680265814	"C00114"	"M(S34)+H[1+]"	0.000103799043998265	"Choline"	0.000103799043998265
109.064732562717	"C00642"	"M-CO2+H[1+]"	4.39040530011425e-05	"4-hydroxyphenylacetate"	4.39040530011425e-05
112.099405322047	"C00329"	"M-HCOONa+H[1+]"	0.000128855277012008	"D-glucosamine"	0.000128855277012008
125.059609332063	"C00642"	"M-CO+H[1+]"	3.28652930079443e-05	"4-hydroxyphenylacetate"	3.28652930079443e-05
134.081065288874	"C00329"	"M-HCOOH+H[1+]"	0.000211177896005665	"D-glucosamine"	0.000211177896005665
135.043974498116	"C00642"	"M-H2O+H[1+]"	1.9686540042585e-06	"4-hydroxyphenylacetate"	1.9686540042585e-06
137.02480317711	"C00149"	"M(S34)+H[1+]"	0.000226710339973124	"Malate"	0.000226710339973124
141.05446333986	"C00670"	"M+H+Na[2+]"	0.000886873090024665	"Glycero-3-phosphocholine"	0.000886873090024665
144.065407343296	"C00329"	"M-H4O2+H[1+]"	6.91234740202162e-05	"D-glucosamine"	6.91234740202162e-05
151.535478334263	"C00357"	"M+2H[2+]"	5.18674929708141e-05	"N-Acetyl-D-glucosamine-6-phosphate"	5.18674929708141e-05
152.091711440262	"C00329"	"M-CO+H[1+]"	3.49734920064293e-05	"D-glucosamine"	3.49734920064293e-05
153.054472356584	"C00642"	"M+H[1+]"	0.000104110186015305	"4-hydroxyphenylacetate"	0.000104110186015305
154.058542319184	"C00642"	"M(C13)+H[1+]"	0.000565852413984658	"4-hydroxyphenylacetate"	0.000565852413984658
162.112307347514	"C00487"	"M[1+]"	0.000692652486009138	"Carnitine"	0.000692652486009138
163.060240042687	"C00329"	"M-NH3+H[1+]"	6.3575917010894e-05	"D-glucosamine"	6.3575917010894e-05
171.065078150257	"C00642"	"M+H2O+H[1+]"	9.83165130321595e-05	"4-hydroxyphenylacetate"	9.83165130321595e-05
173.102335864303	"C00114"	"M+HCOONa[1+]"	0.000159397532996763	"Choline"	0.000159397532996763
180.086777787907	"C00329"	"M+H[1+]"	0.000101321137009336	"D-glucosamine"	0.000101321137009336
182.081057678917	"C00329"	"M(S34)+H[1+]"	0.00141878785299809	"D-glucosamine"	0.00141878785299809
187.096314840756	"C00670"	"M-C3H4O2+H[1+]"	0.000461626013986915	"Glycero-3-phosphocholine"	0.000461626013986915
215.127484081954	"C00670"	"M-CO2+H[1+]"	0.000592384815973901	"Glycero-3-phosphocholine"	0.000592384815973901
218.10196078337	"C00357"	"M-HCOOK+H[1+]"	0.000315683400032185	"N-Acetyl-D-glucosamine-6-phosphate"	0.000315683400032185
223.096183211124	"C00670"	"M-H4O2+H[1+]"	0.000493255645977797	"Glycero-3-phosphocholine"	0.000493255645977797
231.122436569621	"C00670"	"M-CO+H[1+]"	0.000439897148993396	"Glycero-3-phosphocholine"	0.000439897148993396
234.076344369017	"C00357"	"M-HCOONa+H[1+]"	0.000167902246943186	"N-Acetyl-D-glucosamine-6-phosphate"	0.000167902246943186
237.015356253619	"C00642"	"M+HCOOK[1+]"	0.000520213151020243	"4-hydroxyphenylacetate"	0.000520213151020243
238.044636283985	"C00329"	"M+NaCl[1+]"	0.000640182784991339	"D-glucosamine"	0.000640182784991339
241.10662043195	"C00670"	"M-H2O+H[1+]"	0.000656034819968454	"Glycero-3-phosphocholine"	0.000656034819968454
258.073754014192	"C00357"	"M-CO2+H[1+]"	2.24525780367912e-05	"N-Acetyl-D-glucosamine-6-phosphate"	2.24525780367912e-05
258.109483981521	"C00670"	"M[1+]"	0.00111601847896736	"Glycero-3-phosphocholine"	0.00111601847896736
277.127529791244	"C00670"	"M+H2O+H[1+]"	0.000946675525995033	"Glycero-3-phosphocholine"	0.000946675525995033
281.099017993966	"C00670"	"M+Na[1+]"	0.000858472803940913	"Glycero-3-phosphocholine"	0.000858472803940913
324.046159642562	"C00357"	"M+Na[1+]"	0.000583175791916801	"N-Acetyl-D-glucosamine-6-phosphate"	0.000583175791916801
340.019639930116	"C00357"	"M+K[1+]"	0.000563463345997661	"N-Acetyl-D-glucosamine-6-phosphate"	0.000563463345997661
