"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number"
"Tryptophan metabolism","29","13","9","11.196","0.030001","0.09191","0.056171","0","0","P0"
"Glycerophospholipid metabolism","24","9","7","9.2655","0.0237","0.094699","0.056324","0","0","P1"
"Pentose and glucuronate interconversions","9","8","6","3.4746","0.04778","0.1677","0.060563","0","0","P2"
"Tyrosine metabolism","25","13","7","9.6515","0.22256","0.41579","0.079412","1","0.01","P3"
"Pentose phosphate pathway","18","14","7","6.9491","0.30061","0.50452","0.088627","0","0","P4"
"Cyanoamino acid metabolism","10","4","3","3.8606","0.17632","0.51946","0.090365","0","0","P5"
"Glutathione metabolism","25","12","6","9.6515","0.32842","0.55334","0.094539","0","0","P6"
"Valine, leucine and isoleucine biosynthesis","13","7","4","5.0188","0.28515","0.5736","0.097209","1","0.01","P7"
"Alanine, aspartate and glutamate metabolism","20","15","7","7.7212","0.38307","0.58785","0.099172","0","0","P8"
"Cysteine and methionine metabolism","26","15","7","10.038","0.38307","0.58785","0.099172","0","0","P9"
"Arginine and proline metabolism","28","15","7","10.81","0.38307","0.58785","0.099172","1","0.01","P10"
"Amino sugar and nucleotide sugar metabolism","27","19","8","10.424","0.50518","0.68392","0.1147","0","0","P11"
"Aminoacyl-tRNA biosynthesis","66","19","8","25.48","0.50518","0.68392","0.1147","3","0.03","P12"
"Glycine, serine and threonine metabolism","22","11","5","8.4934","0.46153","0.69745","0.11729","0","0","P13"
"Vitamin B6 metabolism","8","6","3","3.0885","0.45141","0.76261","0.13172","1","0.01","P14"
"Nicotinate and nicotinamide metabolism","9","6","3","3.4746","0.45141","0.76261","0.13172","0","0","P15"
"Butanoate metabolism","19","12","5","7.3352","0.55661","0.7695","0.13349","0","0","P16"
"Purine metabolism","54","37","14","20.847","0.65922","0.77142","0.13399","0","0","P17"
"Terpenoid backbone biosynthesis","10","10","4","3.8606","0.6134","0.82899","0.15137","0","0","P18"
"Lysine degradation","16","7","3","6.177","0.5761","0.83821","0.1547","0","0","P19"
"Methane metabolism","9","7","3","3.4746","0.5761","0.83821","0.1547","0","0","P20"
"Glycerolipid metabolism","9","4","2","3.4746","0.52144","0.86822","0.16698","3","0.03","P21"
"Riboflavin metabolism","10","4","2","3.8606","0.52144","0.86822","0.16698","0","0","P22"
"Valine, leucine and isoleucine degradation","38","14","5","14.67","0.71718","0.87265","0.16903","0","0","P23"
"beta-Alanine metabolism","12","8","3","4.6327","0.68125","0.89133","0.17849","0","0","P24"
"Starch and sucrose metabolism","19","12","4","7.3352","0.77197","0.91459","0.19276","0","0","P25"
"Ascorbate and aldarate metabolism","6","5","2","2.3164","0.66007","0.92075","0.19717","1","0.01","P26"
"Ubiquinone and other terpenoid-quinone biosynthesis","5","5","2","1.9303","0.66007","0.92075","0.19717","21","0.21","P27"
"D-Glutamine and D-glutamate metabolism","5","5","2","1.9303","0.66007","0.92075","0.19717","9","0.09","P28"
"Nitrogen metabolism","9","5","2","3.4746","0.66007","0.92075","0.19717","4","0.04","P29"
"Sphingolipid metabolism","17","6","2","6.5631","0.7644","0.95238","0.22678","0","0","P30"
"Pantothenate and CoA biosynthesis","8","6","2","3.0885","0.7644","0.95238","0.22678","0","0","P31"
"Sulfur metabolism","7","6","2","2.7024","0.7644","0.95238","0.22678","0","0","P32"
"Pyruvate metabolism","18","10","3","6.9491","0.83086","0.9526","0.22705","0","0","P33"
"Inositol phosphate metabolism","22","11","3","8.4934","0.87986","0.9691","0.2513","3","0.03","P34"
"Pyrimidine metabolism","40","32","9","15.442","0.94315","0.97512","0.26333","0","0","P35"
"Galactose metabolism","13","12","3","5.0188","0.91583","0.98","0.2753","0","0","P36"
"Glycolysis or Gluconeogenesis","25","17","4","9.6515","0.95349","0.98751","0.30046","1","0.01","P37"
"Citrate cycle (TCA cycle)","20","12","2","7.7212","0.98037","0.99779","0.38623","5","0.05","P38"
"Fructose and mannose metabolism","20","13","2","7.7212","0.9874","0.99868","0.40964","5","0.05","P39"
"Fatty acid metabolism","39","6","1","15.056","0.95292","1","1","0","0","P40"
"Synthesis and degradation of ketone bodies","4","4","1","1.5442","0.86921","1","1","0","0","P41"
"Histidine metabolism","8","3","1","3.0885","0.78227","1","1","31","0.31","P42"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","1","1.5442","0.86921","1","1","62","0.62","P43"
"Taurine and hypotaurine metabolism","6","5","1","2.3164","0.9215","1","1","19","0.19","P44"
"Selenoamino acid metabolism","17","3","1","6.5631","0.78227","1","1","0","0","P45"
"D-Arginine and D-ornithine metabolism","4","3","1","1.5442","0.78227","1","1","43","0.43","P46"
"Arachidonic acid metabolism","12","3","1","4.6327","0.78227","1","1","2","0.02","P47"
"Glyoxylate and dicarboxylate metabolism","10","8","1","3.8606","0.9831","1","1","11","0.11","P48"
"Propanoate metabolism","19","12","1","7.3352","0.99784","1","1","0","0","P49"
"Folate biosynthesis","14","7","1","5.4049","0.97178","1","1","12","0.12","P50"
"Porphyrin and chlorophyll metabolism","11","3","1","4.2467","0.78227","1","1","9","0.09","P51"
